Hhid,Personid,Country Of Birth,Country Of Citizenship,Head Of Household,Numppl_household,Relationship To Head Of Household,Marital Status,Age,Gender,Ethnic Origin,Year Of Entry,Original Resettlement State,State Of Residence Last Year,state of residence last year US location,Lived In Same State Last Year,primary reason for move to US,num_months__health_costs_covered_organism_past_12mo,medical_expenses_covered_by,Bad Health 6 Months Or More Limiting Work,Bad Health 6 Months Or More Preventing Work,Usual Medical Care Source,Earnings last 12 months (amount),Earnings_per_person_last_12_months,given_aid,type_aid,Received_Food_Stamps,SSI since arrival,Applied For Permanent Residency Day,Applied For Permanent Residency,Applied For Permanent Residency Month,Applied For Permanent Residency Year,Planning Immigration Status Change,Currently Enrolled English Courses,Degree Or Certificate Received,Highest Degree Before Entry,Participate In Children Education,Speak English Now,Speak English On Arrival,Taught English Before Arrival,Taught English Past 12 Months,Total Earnings From Jobs Before Taxes Past 12 Months,Years Of Schooling Before Entry,Training Duration Weeks,Public Housing,Assistance Disqualification Due To Income,Work Status Summary,Attended Job Training Past 12 Months,Attended University Or Training Past 12 Months,Employment Before Entry,first job US date month,first job US date year,Job Business Kind Or Industry,Kind Of Work Before Entry,Layoff Or Absent From Job Last Week,Looking For Work Past 4 Weeks,Number Hours All Jobs Last Week,Number Hours Primary Job Last Week,Number Jobs Last Week,Work Hours Last Year,Work Hours Per Week,Work Job Last Week,Work More One Job Last Week,Work Status,worked since US entry,Wanted Degree Or Certificate From School,Weeks Since Job Started,Cohort,Entry Between 2011 2015,first job US date,Health Costs Covered By Organism Past 12 Months,Health Costs Covered By Organism Past 12 Months Number Of Months,Health Insurance Coverage Type Past 12 Months 01,Health Insurance Coverage Type Past 12 Months 02,Health Insurance Coverage Type Past 12 Months 03,Health Insurance Coverage Type Past 12 Months 04,Health Insurance Coverage Type Past 12 Months 97,household received GA past 12 months,household received GA past 12 months number months,household received SSI past 12 months,household received SSI past 12 months number months,household received cash assistance voluntary agency sponsor religious organization MAA,Household Received Food Stamps Past 12 Months,Medical Expenses Paid How Past Month 01,Medical Expenses Paid How Past Month 02,Medical Expenses Paid How Past Month 03,Medical Expenses Paid How Past Month 04,Medical Expenses Paid How Past Month 05,Medical Expenses Paid How Past Month 06,Medical Expenses Paid How Past Month 07,Medical Expenses Paid How Past Month 08,Medical Expenses Paid How Past Month 09,Medical Expenses Paid How Past Month 10,Medical Expenses Paid How Past Month 11,Medical Expenses Paid How Past Month 12,Medical Expenses Paid How Past Month 97,Money Earned Before Taxes Primary Job Duration,Money Earned Per Hour Primary Job Last Week,Money Earned Per Hour Second Job Last Week,Money Earned Primary Job Before Taxes,Money Earned Second Job Before Taxes,Money Earned Second Job Duration,months household received TANF,months household received TANF number months,Number Months Receiving Food Stamps,Number Of Months Living In Residence,Participate In Children Education How 01,Participate In Children Education How 02,Participate In Children Education How 03,Participate In Children Education How 04,Participate In Children Education How 05,Participate In Children Education How 06,Participate In Children Education How 07,Participate In Children Education How 08,Participate In Children Education How 97,Person Who Received Food Stamps 01,Person Who Received Food Stamps 02,Person Who Received Food Stamps 03,Person Who Received Food Stamps 04,Person Who Received Food Stamps 05,,Reason Not Looking For Job 01,Reason Not Looking For Job 02,Reason Not Looking For Job 03,Reason Not Looking For Job 04,Reason Not Looking For Job 05,Reason Not Looking For Job 06,Reason Not Looking For Job 07,Reason Not Looking For Job 08,Reason Not Looking For Job 97,received GA since US arrival,received GA since US arrival number months,received RCA assistance past 12 months,received RCA assistance past 12 months number months,received SSI last month,received SSI since US arrival,received SSI since US arrival number months,received TANF cash assistance past 12 months,received TANF cash assistance past 12 months number months,received TANF last month,reeived RCA last month,Residence Monthly Payment,Residence Type,Respondent,Ui Agect Arrival,Ui Cashassist,Ui Emprate,Ui Lfp,Ui Lpr,Ui Medicaidrma,Ui Qn10A Annual,Ui Qn8A Annual,Ui School,Ui Soi,Ui Soi Pubassist,Ui Work,who received GA 01,who received GA 02,who received GA 03,who received GA 04,who received GA 05,who received RCA 01,who received RCA 02,who received RCA 03,who received RCA 04,who received RCA 05,who received SSI 01,who received SSI 02,who received SSI 03,who received SSI 04,who received SSI 05,who received TANF 01,who received TANF 02,who received TANF 03,who received TANF 04,who received TANF 05
99902046,999020461,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),2,Self,Legally separated,28,Female,Lhotsampa,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,Don't know,Medicaid,No,No,Private physician,,,No,No,Yes,No months,(RECORD MONTH),Yes,October,2016,,,,Primary,Yes,Well,Not well,Yes,No,Don't know,10,,No,Yes,Employee of a private business,No,No,Not employed,May,2015,Retail/wholesale trade/warehousing,,,,,40,,50,40,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),Not covered in any month,,,,,,,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,11.5,,,,,No months,,12,24,Attend parent-teacher meetings,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Household member #2,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,No months,,No,,,,900,Rented for cash rent,Respondent,25 to 39 years,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
99900422,999004221,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),5,Self,Married,Don't know,Female,Nepalese,2015 or later,South,,,Yes,Did not move to another state/it's the first state we lived in since living in U,Don't know,Refugee Medical Assistance (RMA),No,No,Emergency room at a hospital,,,Don't know,Don't know,Yes,Don't know,,No,,,Yes,,,Primary,Yes,Not at all,Not at all,No,No,,4,,No,,,No,No,Not employed,,,,,,No,,,,,,No,,,Never worked in the U.S.,,,2015,,,Don't know,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,Don't know,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Refugee Medical Assistance (RMA),Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,Don't know,,,18,Option not selected,Option not selected,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Household member #2,Household member #3,Household member #4,Option not selected,,Option not selected,Option not selected,Option not selected,Child care or family responsibilities,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Don't know,,Don't know,,,Don't know,,No,,,,960,Rented for cash rent,Respondent,Don't know and/or refused,Does not receive cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Don't know and/or refused,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Not working now and never worked in past,,,,,,,,,,,,,,,,,,,,
99900823,999008231,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),3,Self,Never married,35,Male,Bhutanese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,No medical expenses,No,No,Health clinic,"(25k,64k)","(Line Poverty,32k)",No,No,Yes,No months,(RECORD MONTH),Yes,August,2016,,,,Training in refugee camp,No,Well,Not well,No,No,36000,10,,No,Yes,Employee of a private business,No,No,Employee in private sector,September,2015,Misc. general products/goods/product companies,Laborer,,,,40,,52,40,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Private insurance unrelated to employment,Option not selected,Option not selected,Option not selected,No,,No,,No,Yes,No medical expenses,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,16.55,,,,,No months,,12,17,,,,,,,,,,Option not selected,Household member #2,Household member #3,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,No months,,No,,,,500,Rented for cash rent,Respondent,25 to 39 years,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
99901320,999013201,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),3,Self,Married,47,Male,Bhutanese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,No,No,Health clinic,<=25k,"(Line Poverty,32k)",No,No,Yes,No months,(RECORD MONTH),Yes,June,2015,,,,Primary,Yes,Not well,Not at all,Yes,No,24000,2,5,No,Yes,Employee of a private business,Yes,No,Other,October,2015,Manufacturing/production/factory,"Service worker (social worker, hairdresser, housekeeper, etc.)",,,,56,,Don't know,54,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Private insurance unrelated to employment,Option not selected,Option not selected,Option not selected,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,9.85,,,,,No months,,12,13,Attend parent-teacher meetings,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,No months,,No,,,,1700,Rented for cash rent,Respondent,40 to 54 years,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
99901048,999010481,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),4,Self,Married,28,Male,Bhutanese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,Don't know,Other government source,Yes,Yes,Folk healer,"(25k,64k)","(Line Poverty,32k)",No,No,Yes,No months,(RECORD MONTH),Yes,March,2017,,,,Secondary (or high school diploma),Yes,Very well,Well,No,No,27700,14,,No,Yes,Government employee,No,No,Employed (unspecified if private or government),December,2015,Manufacturing/production/factory,"Education (teacher, professor, educator, etc.)",,,,32,,40,40,Yes,No,Federal government employee,,,,2015,,(RECORD MONTH),Not covered in any month,,,,,,,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,10.5,,,,,No months,,9,18,Attend parent-teacher meetings,Option not selected,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #4,Option not selected,,,,,,,,,,,No months,,No,,,No months,,No,,,,1500,Rented for cash rent,Respondent,25 to 39 years,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
99901740,999017401,Bhutan,Bhutan,(RECORD HEAD OF HOUSEHOLD NAME),1,Self,Married,42,Male,Lhotsampa,2015 or later,North East,Specify state,North East,No,Employment opportunities,12 months,Refugee Medical Assistance (RMA),No,No,Private physician,,,Don't know,Don't know,Yes,Don't know,(RECORD YEAR),Yes,,2016,,,,Primary,Yes,Not well,Not well,Yes,No,Don't know,10,,No,No,Employee of a private business,No,No,Not employed,December,2015,Retail/wholesale trade/warehousing,,,,,24,,Don't know,36,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Refugee Medical Assistance (RMA),Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,12,,,,,Don't know,,12,5,Attend parent-teacher meetings,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,Don't know,,No,,,,999,Rented for cash rent,Respondent,40 to 54 years,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
99901614,999016143,Bhutan,None,(RECORD HH MEMBER #3 IF APPLICABLE),3,Parent / Stepparent / foster parent / guardian,Widowed,74,Female,Bhutanese,2015 or later,South,,,Yes,Reunification with relatives,12 months,Medicaid,Yes,Yes,Private physician,,,Yes,GA RCA,No,Every month,,No,,,Yes,,,None,No,Not at all,Not at all,No,No,,0,,No,,,No,No,Not employed,,,,,,No,,,,,,No,,,Never worked in the U.S.,,,2015,,,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,12,No,No,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,,20,,,,,,,,,,,,,,,,Option not selected,Option not selected,Poor health or handicap,Option not selected,Option not selected,Option not selected,Age,Option not selected,Option not selected,No months,,Yes,6,Yes,Every month,,No,,,No,950,Rented for cash rent,Respondent,55 or older,Receives cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Not working now and never worked in past,,,,,,Head of Household,Household member #2,Household member #3,Option not selected,Option not selected,Option not selected,Option not selected,Household member #3,Option not selected,Option not selected,,,,,
99900904,999009041,Bhutan,Refused,(RECORD HEAD OF HOUSEHOLD NAME),4,Self,Married,31,Male,Lhotsampa,2015 or later,North East,,,Yes,Refused,12 months,Insurance through own employment,No,No,Health clinic,,,Yes,GA,Yes,Don't know,(RECORD MONTH),Yes,September,2016,,,,University degree (other than medical),Yes,Well,Not well,Yes,No,Don't know,17,,No,Yes,Refused,No,No,Employed (unspecified if private or government),December,2015,Health care/education/social service,"Education (teacher, professor, educator, etc.)",,,,35,,40,35,Yes,No,Refused,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Private insurance unrelated to employment,Option not selected,Option not selected,Option not selected,Don't know,,Yes,12,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Insurance through own employment,Option not selected,Option not selected,Option not selected,Bi-weekly,Don't know,,Don't know,,,No months,,12,17,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #4,Option not selected,,,,,,,,,,,Don't know,,No,,Yes,Don't know,,No,,,,700,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,Don't know,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Household member #4,Option not selected,,,,,
99901065,999010651,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),5,Self,Married,46,Male,Bhutanese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,Don't know,Other government source,Yes,Yes,Health clinic,<=25k,<=Line Poverty,Yes,GA,Yes,Every month,(RECORD MONTH),Yes,August,2016,,,,None,Yes,Not well,Not at all,No,No,19600,0,,No,Yes,Government employee,No,No,Employed (unspecified if private or government),June,2015,Manufacturing/production/factory,White collar/office/administrative,,,,40,,45,40,Yes,No,Federal government employee,,,,2015,,(RECORD MONTH),Not covered in any month,,,,,,,No,,Yes,10,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,10.5,,,,,No months,,10,12,Option not selected,Option not selected,Option not selected,Option not selected,Financially/send money/buy what they need,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #3,Option not selected,Option not selected,,,,,,,,,,,Number of months,4,No,,Yes,Every month,,No,,,,2000,Rented for cash rent,Respondent,40 to 54 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,Option not selected,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
99901658,999016582,Bhutan,Bhutan,(RECORD HH MEMBER #2 IF APPLICABLE),5,Other relative,Married,32,Male,Nepalese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,Don't know,Medicaid,No,No,Other,"(25k,64k)",<=Line Poverty,Yes,GA,Yes,Some months,,No,,,Yes,,,Primary,Yes,Not well,Not at all,No,No,26000,10,,No,Yes,Employee of a private business,No,No,Employee in private sector,August,2015,Manufacturing/production/factory,Laborer,,,,36,,50,36,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),Not covered in any month,,,,,,,No,,Yes,2,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,9.25,,,,,No months,,12,21,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Household member #4,Household member #5,,,,,,,,,,,No months,,No,,No,Number of months,1,No,,,,1700,Owned by you or someone in this household with or without a mortgage or loan,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Plans to adjust LPR status in future,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Option not selected,Household member #5,,,,,
99900549,999005491,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),5,Self,Married,27,Male,Nepalese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,02 - 11 Months,No medical expenses,No,No,Folk healer,,,Yes,GA,No,Some months,Don't know,Yes,,,Yes,,,Secondary (or high school diploma),Yes,Very well,Well,No,No,Refused,12,,No,Yes,Government employee,No,No,Employee in private sector,May,2015,Manufacturing/production/factory,"Service worker (social worker, hairdresser, housekeeper, etc.)",,,,40,,51,40,Yes,No,Federal government employee,,,,2015,,(RECORD MONTH),No - number of months not covered (RANGE: 02-11),3,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,4,No,No,No medical expenses,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,13,,,,,No months,,,3,Option not selected,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Transportation,Option not selected,Option not selected,,,,,,,,,,,,,,,,No months,,No,,Yes,Number of months,4,No,,,,700,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,Option not selected,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
99901898,999018981,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),3,Self,Never married,32,Male,Bhutanese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,02 - 11 Months,No medical expenses,No,No,Private physician,<=25k,"(Line Poverty,32k)",Yes,GA,Yes,Every month,(RECORD MONTH),Yes,December,2016,,,,Secondary (or high school diploma),Not applicable,Well,Well,No,No,23000,12,,No,Yes,Employee of a private business,No,No,Employed (unspecified if private or government),November,2015,Manufacturing/production/factory,"Education (teacher, professor, educator, etc.)",,,,40,,41,40,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),No - number of months not covered (RANGE: 02-11),3,Option not selected,Private insurance unrelated to employment,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,12,No,Yes,No medical expenses,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,10.76,,,,,No months,,12,9,,,,,,,,,,Option not selected,Household member #2,Household member #3,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,Yes,Every month,,No,,,,1000,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,Option not selected,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
99900735,999007351,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),5,Self,Married,39,Male,Bhutanese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,No,No,Folk healer,,,Yes,GA,Yes,Don't know,(RECORD MONTH),Yes,November,2016,,,,Primary,Yes,Not well,Not well,No,No,Don't know,7,,No,Yes,Employee of a private business,No,No,Employee in private sector,October,2015,Health care/education/social service,"Skilled tradesperson (carpenter, mechanic, plumber, linesperson, electrician, ta",,,,40,,40,40,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,9,,,,,No months,,10,4,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,Don't know,Don't know,,No,,,,,Owned by you or someone in this household with or without a mortgage or loan,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,Option not selected,Household member #2,Household member #3,Option not selected,Option not selected,,,,,
99901099,999010993,Bhutan,Don't know,(RECORD HH MEMBER #3 IF APPLICABLE),5,Child / stepchild / foster child / ward,Married,35,Male,Lhotsampa,2015 or later,North East,,,Yes,Refused,12 months,Medicaid,No,No,Private physician,,,Yes,GA,Yes,Don't know,,No,,,Don't know,,,Primary,Yes,Not well,Not well,Don't know,No,Don't know,10,,No,Don't know,Refused,No,No,Employee in private sector,July,2015,Misc. general products/goods/product companies,Laborer,,,,12,,Don't know,8,Yes,No,Refused,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,12,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,11.75,,,,,Don't know,,,7,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Household member #2,Option not selected,Household member #4,Household member #5,,,,,,,,,,,Don't know,,No,,Yes,Don't know,,No,,,,850,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,"Not applied to adjust, may not",Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,Head of Household,Household member #2,Option not selected,Option not selected,Option not selected,,,,,
99901094,999010941,Bhutan,Bhutan,(RECORD HEAD OF HOUSEHOLD NAME),2,Self,Married,36,Male,Other,2015 or later,Mid West,,,Yes,Don't know,Don't know,Medicaid,Yes,No,Emergency room at a hospital,,,Yes,GA,Yes,No months,,No,,,Yes,Yes,,None,Yes,Not well,Not at all,No,Yes,,0,,No,,,No,No,Employee in private sector,,,,Laborer,,No,,,,,,No,,,Never worked in the U.S.,,,2015,,,Not covered in any month,,,,,,,No,,Yes,10,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,Every month,,12,19,Attend parent-teacher meetings,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Household member #2,Option not selected,Option not selected,Option not selected,,Option not selected,Option not selected,Poor health or handicap,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,No months,,No,,Yes,No months,,No,,,,585,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Individual does not receive RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Not working now and never worked in past,,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,
99900989,999009891,Bhutan,Don't know,(RECORD HEAD OF HOUSEHOLD NAME),1,Self,Married,34,Male,Lhotsampa,2015 or later,South,,,Yes,Don't know,Don't know,Medicaid,No,No,Health clinic,<=25k,"(Line Poverty,32k)",Yes,GA TANF SSI,Yes,No months,(RECORD MONTH),Yes,February,2017,,,,Primary,Yes,Not well,Not well,No,No,20000,12,,No,Yes,Employee of a private business,No,No,Not employed,November,2015,Manufacturing/production/factory,,On layoff,No,,,,48,45,No,,Employee of a private business,Yes,,60,2015,,(RECORD MONTH),Not covered in any month,,,,,,,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,Every month,,6,18,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Already working (have a job/own business),Option not selected,No months,,No,,,No months,,Yes,3,No,,750,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Not in labor force,Not in labor force,Already adjusted LPR status,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Not working now but worked in past,,,,,,,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected
99902549,999025491,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),1,Self,Never married,30,Female,Bhutanese,2015 or later,North East,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Medicaid,No,No,Private physician,,,No,No,No,No months,(RECORD MONTH),Yes,January,2017,,,,Secondary (or high school diploma),Not applicable,Well,Not well,Yes,No,Don't know,12,,Yes,Yes,Employee of a private business,No,No,Employed (unspecified if private or government),March,2016,Hospitality/entertainment,"Education (teacher, professor, educator, etc.)",,,,37,,52,37,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,No,,No,No,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,9.88,,,,,No months,,,18,,,,,,,,,,,,,,,,,,,,,,,,,No months,,No,,,No months,,No,,,,620,Rented for cash rent,Respondent,25 to 39 years,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
